post_url,channel_url,date_posted,msg_og,time_posted,date_edited,time_edited,views,outlinks,msg_clean
https://t.me/cambridgeuni/108,https://t.me/cambridgeuni,2022-09-03,,08:01:52,,,2983,[],
https://t.me/telethonchat/502027,https://t.me/telethonchat,2022-09-05,None,19:54:11,,,0,[],none
https://t.me/telethonchat/502026,https://t.me/telethonchat,2022-09-05,,19:31:17,,,0,[],
https://t.me/telethonchat/502025,https://t.me/telethonchat,2022-09-05,"result = await client(functions.contacts.GetContactsRequest(
        hash=0
        ))

I want get all contact which I have added how can I get with this or it has another method",18:17:17,,,0,[],result = await client(functions.contacts.getcontactsrequest(<newline> hash=0<newline> ))<newline><newline>i want get all contact which i have added how can i get with this or it has another method
https://t.me/telethonchat/502024,https://t.me/telethonchat,2022-09-05,help me pls,18:15:53,,,0,[],help me pls
https://t.me/telethonchat/502023,https://t.me/telethonchat,2022-09-05,how i can use v1.24 not v1.25?,18:15:42,,,0,[],how i can use v1.24 not v1.25?
https://t.me/telethonchat/502021,https://t.me/telethonchat,2022-09-05,None,17:55:41,,,0,[],none
https://t.me/telethonchat/502020,https://t.me/telethonchat,2022-09-05,Read The Docs!,16:49:33,,,0,[],read the docs!
https://t.me/telethonchat/502018,https://t.me/telethonchat,2022-09-05,"Hi, I want a course to learn telethon.",16:48:47,,,0,[],"hi, i want a course to learn telethon."
https://t.me/telethonchat/502016,https://t.me/telethonchat,2022-09-05,the code you posted does not even include the pattern you're using... in any case i recommend you read python's re docs or the howto,16:36:25,2022-09-05,16:37:03,0,[],the code you posted does not even include the pattern you're using... in any case i recommend you read python's re docs or the howto
https://t.me/telethonchat/502014,https://t.me/telethonchat,2022-09-05,So what can I do now,16:18:36,,,0,[],so what can i do now
https://t.me/telethonchat/502013,https://t.me/telethonchat,2022-09-05,Hmm,16:18:18,,,0,[],hmm
https://t.me/telethonchat/502012,https://t.me/telethonchat,2022-09-05,Coz it's related to python,16:17:51,,,0,[],coz it's related to python
https://t.me/telethonchat/502011,https://t.me/telethonchat,2022-09-05,Ya but I don't understand how to fix this error,16:16:01,,,0,[],ya but i don't understand how to fix this error
https://t.me/telethonchat/502010,https://t.me/telethonchat,2022-09-05,U were already replied,16:15:28,,,0,[],u were already replied
https://t.me/telethonchat/502009,https://t.me/telethonchat,2022-09-05,Please help me,16:15:00,,,0,[],please help me
https://t.me/telethonchat/502008,https://t.me/telethonchat,2022-09-05,"Error:
Traceback (most recent call last):
  File ""/data/data/com.termux/files/home/TechnoBot/venv/lib/python3.10/site-packages/telethon/client/updates.py"", line 451, in _dispatch_update
    await callback(event)
  File ""/data/data/com.termux/files/home/TechnoBot/handlers/admin.py"", line 124, in promote
    user, rank = await get_user_from_event(event)
  File ""/data/data/com.termux/files/home/TechnoBot/handlers/helpers/utils/events.py"", line 36, in get_user_from_event
    args = event.pattern_match.group(1).split("" "", 1)
IndexError: no such group

File(pastebin):
https://gist.github.com/Technoboy02/b17fc1f45aa54d74688ba4ece8b67b48/36b87fbed008bb325c38df4613c16d6e0c059044",16:14:45,,,0,"[""https://gist.github.com/Technoboy02/b17fc1f45aa54d74688ba4ece8b67b48/36b87fbed008bb325c38df4613c16d6e0c059044""]","error:<newline>traceback (most recent call last):<newline> file ""/data/data/com.termux/files/home/technobot/venv/lib/python3.10/site-packages/telethon/client/updates.py"", line 451, in dispatchupdate<newline> await callback(event)<newline> file ""/data/data/com.termux/files/home/technobot/handlers/admin.py"", line 124, in promote<newline> user, rank = await getuserfromevent(event)<newline> file ""/data/data/com.termux/files/home/technobot/handlers/helpers/utils/events.py"", line 36, in getuserfromevent<newline> args = event.patternmatch.group(1).split("" "", 1)<newline>indexerror: no such group<newline><newline>file(pastebin):"
https://t.me/telethonchat/502007,https://t.me/telethonchat,2022-09-05,😁👌,16:12:56,,,0,[],😁👌
https://t.me/telethonchat/502005,https://t.me/telethonchat,2022-09-05,None,16:12:38,,,0,[],none
https://t.me/telethonchat/502003,https://t.me/telethonchat,2022-09-05,None,16:10:39,,,0,[],none
https://t.me/telethonchat/502002,https://t.me/telethonchat,2022-09-05,it's annoying and i am not your or anyone's personal assistant,16:10:35,,,0,[],it's annoying and i am not your or anyone's personal assistant
https://t.me/telethonchat/502001,https://t.me/telethonchat,2022-09-05,Why,16:09:50,,,0,[],why
https://t.me/telethonchat/502000,https://t.me/telethonchat,2022-09-05,do not tag me for help,16:05:10,,,0,[],do not tag me for help
https://t.me/telethonchat/501999,https://t.me/telethonchat,2022-09-05,@lonami,15:54:50,,,0,[],@lonami
https://t.me/telethonchat/501998,https://t.me/telethonchat,2022-09-05,"result = await client(functions.contacts.GetContactsRequest(
        hash=0
        ))

I want get all contact which I have added how can I get with this or it has another method",15:54:27,,,0,[],result = await client(functions.contacts.getcontactsrequest(<newline> hash=0<newline> ))<newline><newline>i want get all contact which i have added how can i get with this or it has another method
https://t.me/telethonchat/501997,https://t.me/telethonchat,2022-09-05,how fix it,15:53:25,,,0,[],how fix it
https://t.me/telethonchat/501996,https://t.me/telethonchat,2022-09-05,telethon.errors.rpcerrorlist.PhoneMigrateError: The phone number a user is trying to use for authorization is associated with DC 5 (caused by SendCodeRequest),15:52:03,,,0,[],telethon.errors.rpcerrorlist.phonemigrateerror: the phone number a user is trying to use for authorization is associated with dc 5 (caused by sendcoderequest)
https://t.me/telethonchat/501995,https://t.me/telethonchat,2022-09-05,thanks,13:34:37,,,0,[],thanks
https://t.me/telethonchat/501994,https://t.me/telethonchat,2022-09-05,TL Reference for checkusername,13:32:46,,,0,[],tl reference for checkusername
https://t.me/telethonchat/501992,https://t.me/telethonchat,2022-09-05,"hi, is channels.checkUsername method available in telethon? I couldn't find it in docs",13:30:14,2022-09-05,13:31:29,0,[],"hi, is channels.checkusername method available in telethon? i couldn't find it in docs"
https://t.me/telethonchat/501990,https://t.me/telethonchat,2022-09-05,None,13:25:55,,,0,[],none
https://t.me/telethonchat/501989,https://t.me/telethonchat,2022-09-05,thank.,13:16:25,,,0,[],thank.
https://t.me/telethonchat/501988,https://t.me/telethonchat,2022-09-05,TL Reference for inputmediacontact,13:15:30,,,0,[],tl reference for inputmediacontact
https://t.me/telethonchat/501986,https://t.me/telethonchat,2022-09-05,Documentation for send_file,13:15:20,,,0,[],documentation for sendfile
https://t.me/telethonchat/501984,https://t.me/telethonchat,2022-09-05,"hi, guys , send_contact is work??",13:10:44,,,0,[],"hi, guys , sendcontact is work??"
https://t.me/telethonchat/501982,https://t.me/telethonchat,2022-09-05,None,12:27:21,,,0,[],none
https://t.me/telethonchat/501981,https://t.me/telethonchat,2022-09-05,"It's not a technical issue, but I have a question. How can I show an account online all the time with Telethon. constantly texting etc.",11:54:00,,,0,[],"it's not a technical issue, but i have a question. how can i show an account online all the time with telethon. constantly texting etc."
https://t.me/telethonchat/501980,https://t.me/telethonchat,2022-09-05,Documentation for delete_dialog,11:19:30,,,0,[],documentation for deletedialog
https://t.me/telethonchat/501978,https://t.me/telethonchat,2022-09-05,👌,11:19:26,,,0,[],👌
https://t.me/telethonchat/501977,https://t.me/telethonchat,2022-09-05,thank,11:19:10,,,0,[],thank
https://t.me/telethonchat/501976,https://t.me/telethonchat,2022-09-05,"await client.kick_participant(channel, 'me')",11:18:55,,,0,[],"await client.kickparticipant(channel, 'me')"
https://t.me/telethonchat/501975,https://t.me/telethonchat,2022-09-05,LeaveChannelRequest only for channels?,11:18:15,,,0,[],leavechannelrequest only for channels?
https://t.me/telethonchat/501974,https://t.me/telethonchat,2022-09-05,you know how to leave from channel/group ?,11:17:49,,,0,[],you know how to leave from channel/group ?
https://t.me/telethonchat/501973,https://t.me/telethonchat,2022-09-05,thank you,11:15:08,,,0,[],thank you
https://t.me/telethonchat/501972,https://t.me/telethonchat,2022-09-05,"I don't know what you're doing, I'm just replying to the error that happened above",11:14:52,,,0,[],"i don't know what you're doing, i'm just replying to the error that happened above"
https://t.me/telethonchat/501971,https://t.me/telethonchat,2022-09-05,"try:
                    result = await client(ImportChatInviteRequest(hash))
                    channel_id = result.chats[0].id
                except UserAlreadyParticipantError:
                    invite = await client(CheckChatInviteRequest(hash))
                    channel_id = invite.chat.id",11:14:44,,,0,[],try:<newline> result = await client(importchatinviterequest(hash))<newline> channelid = result.chats[0].id<newline> except useralreadyparticipanterror:<newline> invite = await client(checkchatinviterequest(hash))<newline> channelid = invite.chat.id
https://t.me/telethonchat/501970,https://t.me/telethonchat,2022-09-05,"I don't need to join the channel, I need to get the members from the link",11:14:05,,,0,[],"i don't need to join the channel, i need to get the members from the link"
https://t.me/telethonchat/501969,https://t.me/telethonchat,2022-09-05,"except UserAlreadyParticipantError:
                pass",11:13:29,,,0,[],except useralreadyparticipanterror:<newline> pass
https://t.me/telethonchat/501968,https://t.me/telethonchat,2022-09-05,The authenticated user is already a participant of the chat (caused by ImportChatInviteRequest),11:00:08,,,0,[],the authenticated user is already a participant of the chat (caused by importchatinviterequest)
https://t.me/telethonchat/501967,https://t.me/telethonchat,2022-09-05,i already participant,10:59:18,,,0,[],i already participant
https://t.me/telethonchat/501966,https://t.me/telethonchat,2022-09-05,TL Reference for Importchatinvite,10:58:59,,,0,[],tl reference for importchatinvite
https://t.me/telethonchat/501964,https://t.me/telethonchat,2022-09-05,how to get channel id by url hash?,10:56:02,,,0,[],how to get channel id by url hash?
https://t.me/telethonchat/501963,https://t.me/telethonchat,2022-09-05,thank,10:39:02,,,0,[],thank
https://t.me/telethonchat/501962,https://t.me/telethonchat,2022-09-05,"To find user entitiy, you need meet this user first. Try : get_entity(@username\phone_number), or get participants of chat",10:38:41,,,0,[],"to find user entitiy, you need meet this user first. try : getentity(@username\phonenumber), or get participants of chat"
https://t.me/telethonchat/501961,https://t.me/telethonchat,2022-09-05,,10:17:27,,,0,[],
https://t.me/telethonchat/501960,https://t.me/telethonchat,2022-09-05,https://t.me/TelethonChat/479551,10:15:34,,,0,"[""https://t.me/TelethonChat/479551""]",
https://t.me/telethonchat/501959,https://t.me/telethonchat,2022-09-05,Could not find the input entity for PeerUser(user_id=5071350560) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.,10:14:27,,,0,"[""https://docs.telethon.dev/en/stable/concepts/entities.html""]",could not find the input entity for peeruser(userid=5071350560) (peeruser). please read to find out more details.
https://t.me/telethonchat/501958,https://t.me/telethonchat,2022-09-05,user = await client.get_entity(user_id),10:14:13,,,0,[],user = await client.getentity(userid)
https://t.me/telethonchat/501957,https://t.me/telethonchat,2022-09-05,how to get user by user_id if not dialog?,10:12:09,,,0,[],how to get user by userid if not dialog?
https://t.me/telethonchat/501956,https://t.me/telethonchat,2022-09-05,https://t.me/TelethonChat/420491,10:11:31,,,0,"[""https://t.me/TelethonChat/420491""]",
https://t.me/telethonchat/501955,https://t.me/telethonchat,2022-09-05,probably used to signal fake accounts pretending to be others,09:59:43,,,0,[],probably used to signal fake accounts pretending to be others
https://t.me/telethonchat/501954,https://t.me/telethonchat,2022-09-05,There is no description,09:57:59,,,0,[],there is no description
https://t.me/telethonchat/501953,https://t.me/telethonchat,2022-09-05,Documentation for get_entity,09:54:04,,,0,[],documentation for getentity
